273,4,2019-09-21 11:20:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.881619 77.595882},{12.991484 77.697790},true,22790.500000m,cab 15
280,4,2019-09-21 11:00:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{13.015688 77.566140},{12.991898 77.703648},true,17949.600000m,cab 16
305,4,2019-09-21 11:08:00 +0000 UTC,2019-09-21 12:00:00 +0000 UTC,{12.980621 77.677784},{13.046322 77.621619},true,12617.800000m,cab 17
311,4,2019-09-21 11:00:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{13.015688 77.566140},{12.991898 77.703648},true,17949.600000m,cab 19
316,4,2019-09-21 11:00:00 +0000 UTC,2019-09-21 12:02:00 +0000 UTC,{12.920615 77.684075},{13.001025 77.569363},true,21169.700000m,cab 14
58,4,2019-09-21 01:01:00 +0000 UTC,2019-09-21 02:00:00 +0000 UTC,{12.919325 77.606591},{13.046322 77.621619},true,16986.000000m,cab 2
156,4,2019-09-21 14:30:00 +0000 UTC,2019-09-21 15:36:00 +0000 UTC,{12.920615 77.684075},{13.006115 77.533631},true,25026.000000m,cab 15
163,4,2019-09-21 14:30:00 +0000 UTC,2019-09-21 15:19:00 +0000 UTC,{12.920615 77.684075},{13.073505 77.651125},true,23728.800000m,cab 8
169,4,2019-09-21 14:30:00 +0000 UTC,2019-09-21 15:12:00 +0000 UTC,{12.920615 77.684075},{12.988291 77.669898},true,12218.100000m,cab 14
189,4,2019-09-21 14:33:00 +0000 UTC,2019-09-21 16:00:00 +0000 UTC,{12.993832 77.508357},{12.991484 77.697790},true,25770.500000m,cab 17
222,4,2019-09-21 14:45:00 +0000 UTC,2019-09-21 16:37:00 +0000 UTC,{13.069046 77.493899},{12.921477 77.669084},true,32590.100000m,cab 22
232,4,2019-09-21 14:35:00 +0000 UTC,2019-09-21 16:00:00 +0000 UTC,{12.920807 77.546665},{12.991484 77.697790},true,23061.600000m,cab 7
239,4,2019-09-21 14:32:00 +0000 UTC,2019-09-21 15:00:00 +0000 UTC,{12.976160 77.680850},{12.920615 77.684075},true,9751.700000m,cab 13
281,4,2019-09-21 14:54:00 +0000 UTC,2019-09-21 16:00:00 +0000 UTC,{12.903024 77.584160},{13.046322 77.621619},true,19369.500000m,cab 5
287,4,2019-09-21 14:54:00 +0000 UTC,2019-09-21 15:46:00 +0000 UTC,{13.080670 77.589375},{12.921477 77.669084},true,27761.000000m,cab 11
312,4,2019-09-21 14:35:00 +0000 UTC,2019-09-21 15:00:00 +0000 UTC,{12.987500 77.622735},{13.051540 77.595405},true,11459.700000m,cab 2
157,4,2019-09-21 17:30:00 +0000 UTC,2019-09-21 18:20:00 +0000 UTC,{13.043767 77.616354},{12.845071 77.644306},true,28618.400000m,cab 3
183,4,2019-09-21 20:30:00 +0000 UTC,2019-09-21 22:03:00 +0000 UTC,{12.991484 77.697790},{12.776589 77.695126},true,34824.700000m,cab 1
191,4,2019-09-21 20:30:00 +0000 UTC,2019-09-21 21:42:00 +0000 UTC,{12.991484 77.697790},{12.922768 77.486124},true,28475.200000m,cab 2
283,4,2019-09-21 20:35:00 +0000 UTC,2019-09-21 22:00:00 +0000 UTC,{12.856271 77.562070},{13.046322 77.621619},true,25361.200000m,cab 3
197,4,2019-09-21 16:30:00 +0000 UTC,2019-09-21 16:54:00 +0000 UTC,{12.920615 77.684075},{12.917452 77.672813},true,3031.300000m,cab 5
4,4,2019-09-21 07:15:00 +0000 UTC,2019-09-21 07:24:00 +0000 UTC,{12.920615 77.684075},{12.951726 77.697954},true,4306.800000m,cab 12
29,4,2019-09-21 07:09:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.898341 77.618014},{13.043767 77.616354},true,21875.600000m,cab 14
38,4,2019-09-21 07:14:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.917695 77.697340},{13.043767 77.616354},true,22493.600000m,cab 16
46,4,2019-09-21 07:11:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.963625 77.534555},{13.043767 77.616354},true,18308.900000m,cab 34
54,4,2019-09-21 07:00:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.949216 77.701452},{12.920615 77.684075},true,4380.700000m,cab 15
60,4,2019-09-21 07:13:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.922274 77.619335},{13.043767 77.616354},true,17603.900000m,cab 17
68,4,2019-09-21 07:14:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.932727 77.539738},{13.043767 77.616354},true,20838.100000m,cab 33
83,4,2019-09-21 07:08:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.903207 77.555834},{13.043767 77.616354},true,23312.500000m,cab 32
90,4,2019-09-21 07:03:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.975057 77.769675},{13.043767 77.616354},true,24291.900000m,cab 19
97,4,2019-09-21 07:16:00 +0000 UTC,2019-09-21 09:58:00 +0000 UTC,{13.039668 77.535067},{12.921477 77.669084},true,25806.900000m,cab 25
104,4,2019-09-21 07:25:00 +0000 UTC,2019-09-21 09:00:00 +0000 UTC,{13.023736 77.653817},{12.982539 77.591772},true,10448.200000m,cab 4
